ICO_Name,Enter_CMC,Max_CMC,Min_CMC,Ian_ICO_Grade,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Prototype,Team,Advisors,Idea,Community,Security,Type,Audience
Skrilla,,,,0.64,1.00,0.37761700000,600000000,0.60,113285100,Yes,3,1,1,4033,No,App,Esports
Mercury,0.00118,1.36,0.001006,0.82,0.00,0.043,600000000,0.60,10306919,Yes,4,2,2,1977,No,Infrastructure,Messaging
Science Blockchain,,,,0.79,,1,50000000,4.07,12298073,Yes,3,2,2,1586,No,App,Incubator
Flixxo,0.099841,0.984984,0.021912,0.81,0.35,0.0934,200000000,0.22,8693989,Yes,4,2,2,2918,No,App,Content Creators
Grid+,0.560287,3.23,0.511923,0.74,,1.15,90000000,0.30,66344983,Yes,3,2,2,1884,No,App,Energy
Polkadot,,,,0.49,,755.23400000000,5000000,0.50,150000000,No,3,2,3,2575,No,Infrastructure,Developers
Zilliqa,0.136822,0.159557,0.043811,0.86,0.15,0.0038,5250000000,0.25,20000000,Yes,3,2,3,2256,No,Blockchain,Developers
WaBi,1.39,5.86,0.913778,0.83,0.00,0.24,51830000,0.52,12957500,Yes,3,3,2,6764,No,App,Food
Aion,0.616026,11.51,0.478952,0.89,,1,185000000,0.40,23010994,Yes,3,2,3,5125,No,Blockchain,
Wax Token,4.6,5.01,0.231895,0.40,0.65,0.16,64750000,0.35,326009343,No,2,2,2,31408,No,App,Gamers
Simple Token,0.410537,1.47,0.161248,0.82,0.50,0.0889,240000000,0.30,34888035,Yes,3,2,3,5315,No,Infrastructure,Developers
Atlant,0.415951,2.7,0.114275,0.63,,0.61,108750000,0.73,162637025,Yes,2,2,1,2470,No,App,Real Estate
Sense Token,0.056037,0.066148,0.028024,0.54,,0.1,275000000,0.28,9000000,Yes,0,2,1,2223,No,App,Messaging
LeverJ,0.264422,0.423802,0.076409,0.63,,0.15,300000000,0.30,17200000,Yes,3,0,1,4681,No,App,Trading
ETHLend,0.015214,0.442615,0.014672,0.52,,0.0173,1000000000,0.77,30209360,Yes,1,0,1,5538,No,App,Lending
